symbol,date,open,high,low,close,volume
mcd,2017-09-07,158.47,160.065,158.33,159.9,2965378
pbct,2015-05-14,15.4,15.43,15.31,15.41,2132293
lb,2016-08-26,77.05,77.24,75.95,76.26,959279
gpn,2016-06-22,75.13,75.39,74.22,74.26,1110814
rtn,2015-04-23,109.46,109.46,107.65,108.55,1950951
abbv,2015-09-30,53.54,54.5,53.36,54.41,11895458
foxa,2017-06-15,27.5,27.81,27.45,27.74,7331267
cme,2015-03-30,95.45,96.0399,94.96,95.29,1305515
ppl,2014-07-02,35.08,35.09,34.16,34.33,4036038
pgr,2017-11-28,52.05,52.82,52.02,52.78,3747837
tel,2014-06-11,61.97,62.18,61.7,62.02,1410870
aos,2015-05-26,35.135,35.315,34.8,35.145,930352
m,2016-04-21,41.4,41.81,41.1801,41.55,3926718
orcl,2016-05-02,39.9,40.43,39.83,40.3,10454246
dxc,2017-09-18,85.08,85.39,84.73,84.85,1269464
mrk,2016-06-28,55.44,55.67,55.11,55.58,12760085
alle,2015-12-23,65.55,65.94,65.24,65.82,313432
ir,2014-10-30,61.29,62.01,60.95,61.73,1509238
kmb,2017-07-07,126.43,127.39,125.78,126.8,1694054
mro,2015-10-20,18.27,18.74,18.11,18.56,7885854
nclh,2016-06-28,39.41,39.74,38.22,38.44,3171247
ctas,2017-12-01,157.19,158.43,155.03,157.5,749595
dvn,2014-04-04,68.8,69.07,67.8,68.01,3033368
lyb,2015-02-19,88.19,91.45,87.46,91.24,4946526
vz,2016-02-18,50.12,51.1,49.96,50.94,19678501
cost,2015-11-25,162.04,162.9956,161.14,162.39,1828003
xrx,2016-03-07,41.72,42.04,41.44,41.68,1343137
gt,2014-06-26,27.3,27.385,26.94,27.31,1454687
mu,2014-10-10,29.75,29.87,27.59,27.79,85752738
dri,2015-12-09,58.59,59.74,57.99,58.09,1442406
ivz,2014-01-29,32.8,33.32,32.69,33.05,6463513
c,2015-08-18,57.67,57.92,57.4,57.55,11593241
incy,2014-08-14,49.85,51.76,49.53,51.08,962492
fls,2014-01-14,76.61,77.2,75.91,77.17,1567386
antm,2015-11-11,136.02,136.02,133.95,134.19,1751172
cop,2017-02-02,48.75,49.34,47.283,48.69,8625117
tpr,2015-04-20,42.52,42.79,42.34,42.54,2132460
mlm,2016-02-17,136.38,142.575,134.4,138.91,990979
all,2015-12-16,63.28,63.5,62.53,63.38,2177707
clx,2015-03-04,110.48,110.65,109.08,109.93,952139
d,2016-10-14,73.16,73.47,72.7,72.78,1694062
ebay,2014-04-23,55.54,55.57,54.64,54.94,6611513
rf,2016-02-02,7.78,7.78,7.56,7.63,27109086
trip,2017-11-07,34.71,34.8,30.21,30.35,29448781
nrg,2015-12-30,11.36,11.657,11.08,11.09,3956184
txn,2016-04-22,58.81,59.6,58.44,58.68,5359856
nfx,2015-07-20,34.01,34.18,33.11,33.61,4855116
fdx,2014-10-30,171.67,172.13,170.48,171.8,906111
xrx,2014-12-08,57.44,57.44,56.12,56.24,1503775
adi,2014-06-23,54.77,54.96,54.45,54.52,893988
trip,2016-02-26,62.19,62.95,61.68,62.38,1677331
de,2014-02-07,85.76,86.88,85.74,86.56,2096201
xel,2015-05-04,33.96,34.66,33.95,34.36,3386199
aal,2016-06-08,32.63,32.97,32.22,32.51,8173130
dg,2017-01-11,74.48,74.67,73.3,73.42,3764160
nws,2014-11-10,14.97,14.97,14.77,14.94,294172
ggp,2015-08-24,25.32,26.78,25.25,25.75,7853841
hd,2017-01-09,133.22,134.76,133.14,134.31,4310227
lly,2015-01-21,71.62,72.5,71.11,72.24,5195883
atvi,2014-12-23,20.42,20.61,20.22,20.23,5391491
payx,2017-11-24,64.6,64.89,64.4201,64.69,538856
cci,2014-12-30,79.14,79.17,78.44,78.92,1369530
mtd,2016-02-16,310.26,314.43,308.575,312.69,165866
nws,2015-01-02,15.13,15.28,14.8,14.98,904989
akam,2014-07-30,59.55,61.01,59.55,60.73,5178640
slg,2014-05-15,108.29,108.77,107.08,107.99,693479
vrsn,2016-05-04,86.63,86.73,84.83,84.93,1032772
aos,2014-01-07,26.755,26.77,26.325,26.375,1572142
ibm,2016-08-25,159.0,159.54,158.42,158.63,2575023
rmd,2016-06-14,59.17,59.68,58.93,59.58,446477
qcom,2016-09-22,63.71,64.0,63.36,63.52,7895710
fls,2016-04-15,44.23,44.46,44.06,44.28,585787
jnpr,2015-02-17,23.82,23.95,23.68,23.93,2434288
cbg,2014-01-08,26.08,26.2247,25.86,26.19,2398703
hcp,2017-10-20,26.36,26.43,26.16,26.36,2047129
hrl,2015-03-11,28.17,28.18,27.26,27.62,3578862
fdx,2014-12-18,170.95,174.38,170.0,174.38,3802954
dlr,2016-08-10,101.77,102.35,101.3,101.61,954508
mchp,2014-04-25,48.19,48.33,47.04,47.16,2565689
bbt,2015-07-10,40.89,40.96,40.47,40.7,2801288
mtd,2016-04-11,351.63,355.745,346.92,350.67,134284
rmd,2014-01-15,46.19,46.706,45.91,46.69,1107998
brk.b,2017-02-23,169.96,170.16,169.1085,170.15,3377140
ea,2017-10-30,117.13,117.77,116.64,117.58,2614074
lb,2017-01-12,60.97,61.1899,60.1,60.71,2292699
disca,2015-02-04,29.61,30.44,29.6,30.1,4554247
zbh,2016-05-19,118.23,118.94,116.93,118.19,1003004
cvs,2017-08-04,79.22,79.25,77.92,77.97,6059744
trv,2016-04-18,116.0,116.33,115.43,116.01,2350519
cxo,2014-12-01,94.37,94.9699,91.03,92.43,3652037
pkg,2016-06-28,63.38,64.04,62.41,63.67,2194083
hal,2017-03-13,51.02,51.33,50.67,50.88,6272392
ip,2015-11-19,41.03,41.435,40.83,41.26,2580987
bsx,2015-10-02,16.43,16.93,16.25,16.92,12171025
chtr,2014-08-05,156.1,156.78,153.17,154.97,921441
dhr,2015-11-19,96.79,97.35,96.6,96.95,3259730
dps,2017-08-16,91.95,92.65,91.95,92.44,595600
aee,2017-01-12,52.19,52.39,51.81,51.96,1470192
lly,2017-03-20,84.6,84.86,83.965,84.06,3121865
fls,2015-10-21,42.11,42.41,41.52,41.7,2476919
mat,2016-02-25,32.17,33.15,32.11,33.14,4082723
cms,2014-07-15,29.97,30.27,29.93,30.21,2704406
goog,2017-04-26,874.23,876.05,867.7481,871.73,1237167
jci,2015-07-31,38.9633,40.2304,38.9529,39.7801,5520672
ppg,2016-05-05,109.04,109.53,108.234,108.59,810173
jbht,2017-08-08,90.39,91.57,89.81,90.91,651804
bxp,2017-09-08,120.62,120.925,119.95,120.17,444125
syk,2017-05-23,138.7,140.3,138.64,139.9,1446576
apd,2017-11-20,161.55,162.49,161.26,161.57,696157
spg,2015-09-02,177.14,178.58,175.58,177.13,1113565
tmk,2017-07-14,77.59,78.53,77.36,78.15,238734
grmn,2016-10-10,48.69,49.3,48.58,48.67,883089
nke,2014-08-22,39.625,39.865,39.46,39.645,5807376
orcl,2015-01-14,42.46,43.17,42.46,43.06,12707442
sre,2016-08-17,104.76,106.32,103.91,106.21,1323876
ctl,2014-06-10,36.87,37.035,36.78,36.93,3444107
brk.b,2015-09-22,129.56,129.69,128.36,129.3,4230773
pru,2016-03-23,73.83,74.0,72.59,72.83,2065889
nee,2016-12-28,119.32,119.67,118.47,118.65,1303338
wfc,2015-08-10,57.8,57.98,57.68,57.94,12397545
pki,2017-03-20,57.27,57.32,56.79,57.14,981808
wyn,2015-04-06,90.66,92.13,90.27,91.59,777135
sig,2016-02-17,105.31,107.57,103.32,105.37,1799018
ess,2017-10-19,261.34,261.59,258.57,259.94,201573
wmt,2017-12-07,97.06,97.58,96.65,96.78,7502602
hbi,2017-12-07,20.62,20.87,20.46,20.58,5211597
tmk,2016-09-28,63.52,63.97,63.15,63.93,381442
mco,2015-01-16,92.37,94.18,92.0,94.13,1187387
lkq,2017-10-31,36.55,37.72,36.41,37.69,2472042
slg,2017-08-21,96.48,97.96,96.13,97.47,507900
dgx,2015-06-04,74.28,75.62,74.02,74.94,1360421
lyb,2016-02-25,77.46,78.56,76.33,78.18,2567050
rmd,2014-02-06,43.89,44.39,43.49,43.69,1290451
stx,2014-10-06,56.45,56.9,55.69,56.16,2909856
aes,2016-08-16,12.01,12.08,11.95,12.0,5935006
vrsk,2017-04-06,79.46,79.82,79.13,79.5,958297
gm,2016-03-29,31.04,31.28,30.58,31.19,13667755
fb,2016-06-03,118.975,118.98,117.86,118.47,14135114
chd,2014-02-24,33.165,33.83,33.165,33.72,1668110
mmc,2015-08-28,54.38,54.73,53.77,54.13,3008833
sti,2014-06-13,40.07,40.36,39.95,40.26,3399253
amgn,2014-02-26,123.9,124.23,121.74,121.86,3895729
stx,2016-10-25,35.04,35.04,34.15,34.27,4172327
expe,2017-02-06,121.12,122.06,120.5,122.05,1346827
nlsn,2015-09-10,46.28,46.605,45.93,46.13,1423429
scg,2017-10-10,48.85,49.45,48.68,49.11,1293683
wba,2015-01-21,75.52,76.45,75.06,75.59,2549701
ice,2015-06-10,47.46,48.139,46.994,48.094,3573265
vz,2016-10-07,50.46,50.54,49.92,49.92,13816797
l,2017-11-03,49.3,49.72,48.8,49.61,901253
gpn,2016-10-13,73.22,73.677,72.14,73.35,919536
celg,2015-11-25,112.68,113.7,112.26,112.35,2304468
rcl,2017-06-21,112.0,114.34,112.0,113.91,1605224
whr,2016-12-27,182.1,185.24,181.81,183.65,725174
pdco,2014-11-03,43.19,43.25,42.96,43.08,296298
eog,2016-03-10,71.16,72.86,70.305,72.27,4558447
ayi,2014-04-23,126.32,127.54,124.11,127.34,542074
cfg,2017-08-14,33.91,34.62,33.795,34.22,3061751
algn,2016-03-10,70.63,71.075,69.45,70.42,691860
tmk,2017-06-19,77.64,77.8,77.215,77.77,473390
bsx,2016-08-17,23.9,23.94,23.78,23.9,6405207
mchp,2014-03-18,46.79,47.4,46.6,47.39,1045159
disck,2016-03-23,27.2,27.3,26.26,26.44,1374224
cmi,2015-08-26,117.23,118.78,114.88,118.73,2706154
rsg,2016-05-20,47.92,48.12,47.56,47.69,1354613
cma,2016-03-02,35.15,35.82,34.84,35.79,2421503
ame,2014-11-10,52.0,52.36,51.82,52.22,1201388
kim,2014-11-24,24.93,25.07,24.86,24.98,2462118
cboe,2017-12-27,123.87,125.54,123.7216,124.76,646965
avy,2016-01-20,58.17,59.52,57.06,59.02,785434
amgn,2015-08-17,167.05,169.89,166.0,169.79,1988820
mu,2015-04-30,28.79,28.85,27.85,28.13,18988895
ko,2014-01-06,40.48,40.5926,40.16,40.27,11041224
amg,2014-08-08,194.98,196.67,193.07,196.59,234917
vmc,2017-02-16,123.21,123.52,119.8,120.4,1563890
trip,2014-06-16,102.0,104.11,101.27,103.97,1595928
cxo,2014-09-09,130.49,132.31,128.43,129.35,858330
it,2015-07-09,86.41,86.41,85.31,85.33,182177
wmb,2017-07-17,31.4,31.62,31.34,31.44,2592651
cof,2015-11-16,76.95,77.9,76.68,77.9,2654030
vfc,2014-05-27,63.09,63.48,62.785,62.89,953946
ctxs,2017-10-06,79.39,79.54,78.68,79.47,928215
pxd,2014-09-05,200.49,203.4,199.41,202.11,1302745
qrvo,2016-06-07,54.92,55.9,54.69,55.49,1185381
ge,2015-05-14,27.32,27.43,27.15,27.41,26976059
srcl,2016-11-02,78.04,78.25,75.92,76.03,1347297
hal,2017-07-10,41.51,42.51,41.43,42.32,6132124
mon,2015-09-15,90.55,91.1094,90.04,90.88,3526580
jci,2016-06-06,45.4555,45.6021,45.1413,45.3612,2966968
cme,2014-09-19,83.66,83.66,82.14,82.84,2227167
wfc,2014-04-08,48.66,48.9993,48.44,48.83,19086946
expd,2016-08-11,51.22,51.365,49.7,51.3,572572
lmt,2017-08-18,300.87,301.26,298.821,299.2,1204704
glw,2016-09-27,22.99,23.35,22.96,23.33,10186997
lh,2017-04-06,143.7,144.02,142.75,144.02,1375083
ea,2014-08-04,33.56,34.3,33.56,34.18,3674747
ew,2015-08-14,72.065,72.5149,71.375,71.65,1399690
ctsh,2017-04-03,59.55,59.95,58.17,58.25,5459727
info,2015-03-03,27.0,27.065,26.51,26.8,315013
rl,2015-10-20,117.21,118.65,116.0,117.75,971476
psa,2015-12-04,238.16,242.86,238.16,241.9,1056779
cfg,2015-08-25,23.8,24.08,23.07,23.1,5607825
vno,2014-09-09,107.55,107.78,106.61,106.87,530011
ual,2016-06-02,44.92,45.59,44.86,45.17,3355673
ajg,2017-12-14,64.11,64.35,63.62,63.69,1369109
rop,2016-11-04,170.81,171.32,169.42,169.47,1033675
avb,2016-07-29,182.28,187.43,182.28,185.65,921959
akam,2016-09-09,53.04,53.73,52.43,52.5,2208981
mcd,2015-02-06,94.15,94.48,93.65,93.99,4662736
lb,2014-11-19,77.15,77.89,76.76,77.68,2377935
wfc,2017-11-29,55.84,57.25,55.7,56.68,29631806
dri,2016-12-14,77.08,77.19,76.11,76.4,1808332
mdlz,2015-10-16,45.11,45.86,45.07,45.85,9106294
chk,2016-04-29,6.975,7.148,6.6,6.87,36823104
irm,2014-03-07,27.57,28.115,27.53,27.81,2247851
cmi,2014-03-18,142.55,143.74,142.12,142.68,883304
wynn,2014-05-13,203.75,207.39,201.43,206.0,1720732
symc,2017-05-05,32.34,32.41,32.03,32.3,4320769
nwl,2016-01-22,37.39,37.8,36.59,36.97,3676142
hrs,2017-01-06,103.51,104.71,103.47,104.55,683692
luv,2014-07-11,27.34,27.62,27.24,27.44,4800519
pbct,2016-12-20,19.56,19.655,19.32,19.4,4435150
expd,2014-02-25,41.91,41.91,38.7,39.06,4913044
pep,2014-04-08,83.93,84.0,83.15,83.47,6552745
spg,2015-04-10,193.99,194.765,190.91,191.27,1903898
hp,2017-05-17,57.12,57.75,56.65,56.71,1660813
cost,2014-04-14,112.49,113.0,111.53,112.56,2518969
exr,2014-10-30,58.33,58.585,57.84,57.9,736023
tjx,2014-03-13,61.73,61.82,60.91,61.06,2214636
unp,2015-05-08,108.38,108.64,107.28,107.44,3610207
tgt,2015-07-14,84.11,84.37,83.32,84.1,4095360
coo,2015-12-23,135.14,136.95,134.22,136.25,288715
d,2017-02-15,72.55,72.8,71.96,72.38,3184377
es,2014-04-14,45.63,45.81,45.33,45.67,1868100
lkq,2016-12-30,30.99,31.24,30.54,30.65,1143046
alk,2017-05-11,83.15,83.91,82.37,83.65,1804310
xl,2014-05-29,32.37,32.5,32.27,32.36,1220581
mo,2015-10-06,55.59,55.96,55.25,55.41,5639339
info,2016-05-23,34.13,34.58,33.97,34.47,657437
mmm,2016-12-07,172.38,176.06,171.97,176.05,3164316
luk,2016-08-05,18.9,19.055,18.81,18.86,2482177
pvh,2017-03-24,100.17,102.11,98.88,100.94,2520501
akam,2014-11-12,60.88,61.28,60.33,60.78,738017
mdt,2014-04-30,58.7,58.84,58.41,58.82,3143120
exr,2017-09-15,78.24,79.17,78.24,79.07,1142296
intu,2014-11-28,92.77,94.34,92.68,93.87,949818
holx,2017-06-30,45.73,45.82,45.25,45.38,2797470
vz,2017-10-19,50.05,51.18,49.05,49.21,29173869
xl,2015-11-11,37.72,37.86,37.55,37.68,946391
d,2015-01-30,78.82,78.85,76.82,76.89,2939736
d,2014-04-16,70.8,71.53,70.52,71.53,1799309
nem,2017-11-28,37.13,37.59,37.09,37.14,4724116
bxp,2014-04-28,118.1,118.46,117.11,118.3,673287
tel,2014-04-22,61.37,61.91,61.1,61.34,1774433
fdx,2016-11-11,183.0,184.89,182.11,183.69,1560368
avy,2014-02-26,49.09,49.76,49.09,49.51,707189
vtr,2015-08-21,60.42,60.78,59.58,59.6,3279481
tif,2016-06-27,59.18,59.21,56.985,57.48,4659200
dhi,2015-05-27,26.29,26.405,25.93,26.37,4423567
hum,2015-02-20,153.08,156.84,152.66,156.12,1294493
pnr,2014-11-18,68.95,69.2,68.41,68.51,1035713
kors,2016-07-21,51.5,52.21,51.255,51.35,2008148
adm,2016-06-01,42.63,42.95,42.38,42.83,6466640
vrsk,2015-06-08,73.65,73.99,73.17,73.2,715441
nov,2016-05-13,31.63,32.079,31.11,31.16,3519156
nws,2014-05-21,16.48,16.67,16.38,16.5,431158
ph,2014-06-05,126.3,127.54,125.9001,127.39,1047247
emn,2015-03-23,69.44,70.39,69.4,69.59,1373989
wm,2017-02-14,70.79,71.05,70.72,70.86,1230156
eqt,2015-03-04,82.38,82.435,79.71,80.85,1173403
msft,2017-07-03,69.33,69.6,68.02,68.17,16165538
pnw,2014-06-23,56.42,56.8975,56.16,56.48,659287
met,2016-11-23,55.07,55.4881,54.73,55.35,4978801
ctxs,2014-02-26,60.3,61.09,60.0,60.79,2337012
bac,2015-10-30,17.18,17.18,16.76,16.78,87645788
lnt,2017-06-12,41.41,41.53,40.835,41.17,971857
atvi,2014-06-30,21.96,22.36,21.935,22.3,6257278
ndaq,2015-03-27,49.38,49.77,49.19,49.7,725529
oxy,2014-12-24,82.17,82.5,81.02,82.24,3099758
slb,2016-08-12,81.8,82.09,80.93,81.2,3902402
met,2014-11-26,55.99,56.0395,55.55,55.87,2767581
kss,2016-08-17,45.79,46.32,44.9,45.13,5476573
ebay,2017-07-31,36.09,36.13,35.65,35.73,6227993
tsn,2015-03-26,38.06,38.32,37.69,38.16,3744765
irm,2014-04-04,27.63,27.95,27.45,27.59,1842923
unm,2016-10-14,36.5,36.96,36.31,36.37,1902627
akam,2017-08-15,46.82,47.09,46.13,46.34,1686679
hig,2017-04-07,47.83,48.1,47.64,47.83,2290446
bby,2017-01-04,43.34,44.18,43.31,43.77,4745140
mrk,2017-07-19,62.5,62.83,62.435,62.62,5699122
symc,2016-10-13,24.88,24.88,24.03,24.28,11881760
tap,2017-09-20,85.25,85.58,83.18,83.48,1777846
sig,2015-01-14,121.52,123.12,121.07,122.37,1029848
fisv,2016-06-30,106.88,108.85,106.34,108.73,1542093
unm,2016-04-15,32.36,32.48,32.06,32.31,1214139
hcp,2014-12-05,45.25,45.25,44.01,44.3,3430136
hes,2015-05-07,74.2,74.4,72.735,73.46,2920238
noc,2016-08-30,213.32,213.775,211.9001,212.62,712395
lb,2017-07-11,44.15,44.33,43.35,43.79,4737620
wy,2015-04-06,32.55,32.75,32.43,32.51,7015838
ajg,2015-03-11,45.82,46.21,45.56,46.17,970227
ffiv,2015-06-30,118.58,121.6,118.56,120.35,673367
flr,2014-04-09,76.43,77.5,75.76,77.36,912149
hban,2016-08-04,9.34,9.44,9.32,9.35,6384880
dish,2016-01-21,48.19,48.63,47.33,47.67,3240911
mchp,2014-02-10,44.61,44.875,44.44,44.76,1269315
wdc,2016-11-23,60.8,61.48,60.3,61.04,2201640
whr,2017-08-21,170.0,170.63,167.77,167.8,820112
d,2015-12-17,67.5,67.9625,67.1,67.54,2785548
mat,2016-03-03,32.75,33.205,32.62,32.98,5203589
navi,2017-03-06,14.72,14.85,14.36,14.6,2595402
fti,2015-06-08,42.51,43.1,42.13,42.22,1240886
slg,2017-01-05,109.76,110.25,107.97,109.32,571410
expe,2017-05-17,143.98,145.2,140.14,140.41,4694393
txt,2014-07-08,37.7,37.9411,37.14,37.18,1878509
reg,2017-02-03,70.07,70.09,69.28,69.85,723646
flr,2016-02-04,43.57,45.27,43.31,44.94,1720187
met,2015-04-07,51.38,51.38,50.78,50.8,3187350
sti,2016-12-21,56.2,56.23,55.65,56.02,1891465
uaa,2016-11-08,31.3,31.58,31.07,31.33,3917037
apd,2016-08-26,155.81,156.0,153.57,154.25,1097017
var,2017-04-11,90.12,90.55,88.44,90.04,1741805
fitb,2015-03-30,19.04,19.14,18.96,19.06,5706684
abc,2015-12-03,99.01,99.21,98.03,98.71,2629090
slg,2015-12-07,117.47,117.54,115.52,115.98,662087
ea,2015-08-26,65.5,66.48,63.66,66.34,4342424
ctsh,2016-10-05,50.36,51.43,50.06,50.9,5255075
xom,2015-07-30,83.18,83.32,82.42,83.01,11139943
ads,2017-07-11,256.6,261.21,255.27,259.32,568191
xrx,2017-06-08,28.16,28.16,27.8,28.0,1584747
exc,2014-08-26,32.85,33.04,32.28,32.31,4106382
glw,2014-09-03,20.99,21.07,20.91,21.0,6446819
eqt,2015-07-16,76.88,77.19,76.18,76.72,1446998
dfs,2016-08-16,58.0,58.25,57.77,58.0,1649944
apc,2017-12-26,53.2,54.45,53.1455,54.1,5258956
adp,2017-12-22,117.32,117.955,116.61,116.88,1129601
cnc,2014-04-30,32.79,33.39,32.708,33.2,1088112
qrvo,2016-10-24,55.3,57.49,55.0,57.29,1813515
srcl,2017-03-08,80.64,81.85,80.51,81.64,839572
mac,2016-05-27,75.85,76.42,75.79,76.19,1052120
mlm,2014-12-09,113.41,114.79,112.53,114.76,701764
dhr,2014-11-18,82.5,82.91,82.28,82.58,1901452
psx,2014-05-06,84.1299,85.42,83.66,84.26,2668968
cms,2017-08-23,48.28,48.59,48.14,48.58,909946
ipg,2016-11-11,21.84,22.09,21.67,22.07,3478075
nwsa,2016-02-22,11.04,11.19,11.02,11.1,2634963
aiv,2016-08-24,44.19,44.24,43.63,44.0,692231
kr,2017-12-26,28.26,28.49,27.59,27.8,8677664
unp,2016-10-12,96.74,96.8,95.57,95.91,3419728
pvh,2015-09-08,118.96,119.025,117.09,118.16,1158511
nclh,2016-03-31,54.29,55.59,53.908,55.29,2691957
fti,2017-07-28,28.44,29.18,28.41,28.89,4129453
rop,2015-11-24,190.78,193.2,190.095,192.51,307410
evhc,2017-10-31,41.94,42.955,41.46,42.6,3479600
pkg,2015-04-06,75.9,77.4,75.77,77.24,608434
xom,2015-08-19,77.51,77.58,75.93,76.23,17007779
sig,2017-01-31,78.66,79.13,76.32,77.67,2117321
uri,2015-09-10,69.12,70.47,68.57,68.98,1783702
tsco,2017-02-02,75.12,76.0,73.02,73.71,6506603
ma,2014-08-29,76.3,76.48,75.73,75.81,3231583
cfg,2017-04-04,34.57,35.15,34.4,34.9,4646104
pbct,2017-10-11,18.33,18.35,18.18,18.28,1737305
t,2015-07-07,35.79,35.85,35.37,35.77,27143865
wba,2015-01-13,75.2,76.29,74.11,75.26,5173169
cmcsa,2017-12-15,39.49,39.87,38.99,39.71,47358431
fl,2014-12-26,55.75,55.83,55.1,55.46,867175
px,2016-07-22,117.65,118.09,117.28,117.7,571987
v,2014-03-24,56.3475,56.5575,54.775,55.1875,18236012
hon,2016-07-27,116.08,116.41,114.603,114.96,3446519
